mortgageInterestRate,propertyValueYearlyIncrease,delta
0.03,-0.12,-46739.669742064702839085986698
0.03,-0.11,-40604.864122064702839085986698
0.03,-0.10,-34188.053102064702839085986698
0.03,-0.09,-27479.624082064702839085986698
0.03,-0.08,-20469.748462064702839085986698
0.03,-0.07,-13148.379242064702839085986698
0.03,-0.06,-5505.2486220647028390859866985
0.03,-0.05,2470.1343979352971609140133015
0.03,-0.04,10788.486417935297160914013302
0.03,-0.03,19460.752037935297160914013302
0.03,-0.02,28498.106257935297160914013302
0.03,-0.01,37911.956877935297160914013302
0.03,0.00,47713.946897935297160914013302
0.03,0.01,57915.956917935297160914013302
0.03,0.02,68530.107537935297160914013302
0.03,0.03,79568.76175793529716091401330
0.03,0.04,91044.52737793529716091401330
0.03,0.05,102970.25939793529716091401330
0.03,0.06,115359.06241793529716091401330
0.03,0.07,128224.29303793529716091401330
0.03,0.08,141579.56225793529716091401330
0.03,0.09,155438.73787793529716091401330
0.03,0.10,169815.94689793529716091401330
0.03,0.11,184725.57791793529716091401330
0.03,0.12,200182.28353793529716091401330
0.03,0.13,216200.98275793529716091401330
0.03,0.14,232796.86337793529716091401330
0.03,0.15,249985.38439793529716091401330
0.04,-0.15,-72463.195026094633596264258957
0.04,-0.14,-67118.854006094633596264258957
0.04,-0.13,-61520.073386094633596264258957
0.04,-0.12,-55657.874166094633596264258957
0.04,-0.11,-49523.068546094633596264258957
0.04,-0.10,-43106.257526094633596264258957
0.04,-0.09,-36397.828506094633596264258957
0.04,-0.08,-29387.952886094633596264258957
0.04,-0.07,-22066.583666094633596264258957
0.04,-0.06,-14423.453046094633596264258957
0.04,-0.05,-6448.070026094633596264258957
0.04,-0.04,1870.281993905366403735741043
0.04,-0.03,10542.547613905366403735741043
0.04,-0.02,19579.901833905366403735741043
0.04,-0.01,28993.752453905366403735741043
0.04,0.00,38795.742473905366403735741043
0.04,0.01,48997.752493905366403735741043
0.04,0.02,59611.903113905366403735741043
0.04,0.03,70650.557333905366403735741043
0.04,0.04,82126.32295390536640373574104
0.04,0.05,94052.05497390536640373574104
0.04,0.06,106440.85799390536640373574104
0.04,0.07,119306.08861390536640373574104
0.04,0.08,132661.35783390536640373574104
0.04,0.09,146520.53345390536640373574104
0.04,0.10,160897.74247390536640373574104
0.04,0.11,175807.37349390536640373574104
0.04,0.12,191264.07911390536640373574104
0.04,0.13,207282.77833390536640373574104
0.04,0.14,223878.65895390536640373574104
0.04,0.15,241067.17997390536640373574104
0.05,-0.15,-81532.92576249341374510994538
0.05,-0.14,-76188.584742493413745109945383
0.05,-0.13,-70589.804122493413745109945383
0.05,-0.12,-64727.604902493413745109945383
0.05,-0.11,-58592.799282493413745109945383
0.05,-0.10,-52175.988262493413745109945383
0.05,-0.09,-45467.559242493413745109945383
0.05,-0.08,-38457.683622493413745109945383
0.05,-0.07,-31136.314402493413745109945383
0.05,-0.06,-23493.183782493413745109945383
0.05,-0.05,-15517.800762493413745109945383
0.05,-0.04,-7199.448742493413745109945383
0.05,-0.03,1472.816877506586254890054617
