initialMonthlyRentPrice,rentPriceYearlyIncrease,delta
1100,-0.04,38947.707007235233758189966500
1100,-0.03,40274.780107770481587765683149
1100,-0.02,41628.351603951932136834306613
1100,-0.01,43008.822740149219325379591936
1100,0.00,44416.598002349826860000200227
1100,0.01,45852.085118159088233909698619
1100,0.02,47315.695056800186726936560285
1100,0.03,48807.842029114155405524164429
1100,0.04,50328.943487559877122730796304
1100,0.05,51879.420126214084518229647182
1100,0.06,53459.695880771360018308814394
1100,0.07,55070.197928544135835871301284
1100,0.08,56711.356688462693970435017255
1100,0.09,58383.605821075166208132777727
1100,0.10,60087.382228547534121712304173
1100,0.11,61823.126054663629070536224099
1100,0.12,63591.280684825132200582071039
1100,0.13,65392.292746051574444442284565
1100,0.14,67226.612106980336521324210303
1100,0.15,69094.691877866648937050099894
1200,-0.1,37147.834071227319431926878918
1200,-0.09,38431.100247031780284845854237
1200,-0.08,39740.721699276144467041269427
1200,-0.07,41077.114931228632197016017764
1200,-0.06,42440.699982467845278671071834
1200,-0.05,43831.900428882767101305483558
1200,-0.04,45251.143382672762639616384143
1200,-0.03,46698.859492347578453698984126
1200,-0.02,48175.482942727342689046573357
1200,-0.01,49681.451454942565076550520985
1200,0.00,51217.206286434136932500275483
1200,0.01,52783.192230953331158583364638
1200,0.02,54379.857618561802241885395545
1200,0.03,56007.654315631586254890054617
1200,0.04,57667.037724845100855479107565
1200,0.05,59358.466785195145286932399437
1200,0.06,61082.403971984900377927854575
1200,0.07,62839.315296827928542541476634
1200,0.08,64629.670307648173780247348606
1200,0.09,66453.942088679961675917632761
1200,0.10,68312.607260467999399822570704
1200,0.11,70206.145979867375707630483344
1200,0.12,72135.041940043560940407770912
1200,0.13,74099.782370472407024618912944
1200,0.14,76100.858036940147472126468292
1200,0.15,78138.763241543397380191075121
1300,-0.1,42775.994670711061379379171122
1300,-0.09,44166.199694499227303374727721
1300,-0.08,45584.956267763955167419760848
1300,-0.07,47032.715602379150208225738207
1300,-0.06,48509.932741221631046685380121
1300,-0.05,50017.066558171129687872659491
1300,-0.04,51554.579758110291521042801788
1300,-0.03,53122.938876924675319632285106
1300,-0.02,54722.614281502753241258840106
1300,-0.01,56354.080169735910827721450034
1300,0.00,58017.814570518447005000350742
1300,0.01,59714.299343747574083257030659
1300,0.02,61444.020180323417756834230806
1300,0.03,63207.466602149017104255944799
1300,0.04,65005.131962130324588227418834
1300,0.05,66837.513444176206055635151687
1300,0.06,68705.112063198440737546894758
1300,0.07,70608.432665111721249211651990
1300,0.08,72547.983926833653590059679955
1300,0.09,74524.278356284757143702487788
1300,0.10,76537.832292388464677932837231
1300,0.11,78589.165905071122344724742588
1300,0.12,80678.80319526198968023347079
1300,0.13,82807.27199489323960479554132
1300,0.14,84975.10396689995842292872629
1300,0.15,87182.83460522014582333205035
1400,-0.1,48404.155270194803326831463337
1400,-0.09,49901.299141966674321903601208
1400,-0.08,51429.190836251765867798252266
1400,-0.07,52988.316273529668219435458654
1400,-0.06,54579.165499975416814699688406
1400,-0.05,56202.232687459492274439835418
1400,-0.04,57858.016133547820402469219432
1400,-0.03,59547.018261501772185565586086
1400,-0.02,61269.745620278163793471106849
1400,-0.01,63026.708884529256578892379083
1400,0.00,64818.422854602757077500426000
1400,0.01,66645.406456541817007930696679
1400,0.02,68508.182742085033271783066068
1400,0.03,70407.278888666447953621834983
1400,0.04,72343.226199415548320975730094
1400,0.05,74316.560103157266824337903944
1400,0.06,76327.820154411981097165934932
1400,0.07,78377.550033395513955881827344
1400,0.08,80466.29754601913339987201131
1400,0.09,82594.61462388955261148734282
1400,0.10,84763.05732430892995604310375
1400,0.11,86972.18583027486898181900184
1400,0.12,89222.56445048041842005917066
1400,0.13,91514.76161931407218497216970
1400,0.14,93849.34989685976937373098427
1400,0.15,96226.90596889689426647302557
1500,-0.1,54032.315869678545274283755547
1500,-0.09,55636.398589434121340432474697
1500,-0.08,57273.425404739576568176743686
1500,-0.07,58943.916944680186230645179100
1500,-0.06,60648.398258729202582713996694
1500,-0.05,62387.398816747854861007011348
1500,-0.04,64161.452508985349283895637078
1500,-0.03,65971.097646078869051498887062
1500,-0.02,67816.876959053574345683373598
1500,-0.01,69699.337599322602330063308129
1500,0.00,71619.031138687067150000501257
1500,0.01,73576.513569336059932604362701
1500,0.02,75572.345303846648786731901330
1500,0.03,77607.091175183878802987725172
1500,0.04,79681.32043670077205372404136
1500,0.05,81795.60676213832759304065620
1500,0.06,83950.52824562552145678497512
1500,0.07,86146.66740167930666255200270
1500,0.08,88384.61116520461320968434266
1500,0.09,90664.95089149434807927219785
1500,0.10,92988.28235622939523415337028
1500,0.11,95355.20575547861561891326108
1500,0.12,97766.32570569884715988487054
1500,0.13,100222.25124373490476514879808
1500,0.14,102723.59582681958032453324226
1500,0.15,105270.97733257364270961400080
1600,-0.1,59660.476469162287221736047751
1600,-0.09,61371.498036901568358961348179
1600,-0.08,63117.659973227387268555235104
1600,-0.07,64899.517615830704241854899546
1600,-0.06,66717.631017482988350728304980
1600,-0.05,68572.564946036217447574187276
1600,-0.04,70464.888884422878165322054725
1600,-0.03,72395.177030655965917432188037
1600,-0.02,74364.008297828984897895640336
1600,-0.01,76371.966314115948081234237179
1600,0.00,78419.639422771377222500576510
1600,0.01,80507.62068213030285727802872
1600,0.02,82636.50786560826430168073659
1600,0.03,84806.90346170130965235361535
1600,0.04,87019.41467398599578647235262
1600,0.05,89274.65342111938836174340845
1600,0.06,91573.23633683906181640401530
1600,0.07,93915.78476996309936922217805
1600,0.08,96302.92478439009301949667401
1600,0.09,98735.28715909914354705705288
1600,0.10,101213.50738814986051226363680
1600,0.11,103738.22568068236225600752032
1600,0.12,106310.08696091727589971057042
1600,0.13,108929.74086815573734532542646
1600,0.14,111597.84175677939127533550025
1600,0.15,114315.04869625039115275497603
1700,-0.1,65288.637068646029169188339961
1700,-0.09,67106.597484369015377490221672
1700,-0.08,68961.894541715197968933726526
1700,-0.07,70855.118286981222253064619997
1700,-0.06,72786.863776236774118742613268
1700,-0.05,74757.731075324580034141363206
1700,-0.04,76768.325259860407046748472373
1700,-0.03,78819.256415233062783365489016
1700,-0.02,80911.13963660439545010790709
1700,-0.01,83044.59502890929383240516623
1700,0.00,85220.24770685568729500065177
1700,0.01,87438.72779492454578195169474
1700,0.02,89700.67042736987981662957186
1700,0.03,92006.71574821874050171950554
1700,0.04,94357.50891127121951922066388
1700,0.05,96753.70008010044913044616070
1700,0.06,99195.94442805260217602305548
1700,0.07,101684.90213824689207589235340
1700,0.08,104221.23840357557282930900536
1700,0.09,106805.62342670393901484190791
1700,0.10,109438.73242007032579037390333
1700,0.11,112121.24560588610889310177957
1700,0.12,114853.84821613570463953627029
1700,0.13,117637.23049257656992550205484
1700,0.14,120472.08768673920222613775825
1700,0.15,123359.12005992713959589595126
1800,-0.1,70916.797668129771116640632174
1800,-0.09,72841.696931836462396019095159
1800,-0.08,74806.129110203008669312217939
1800,-0.07,76810.718958131740264274340442
1800,-0.06,78856.096534990559886756921555
1800,-0.05,80942.89720461294262070853913
1800,-0.04,83071.76163529793592817489002
1800,-0.03,85243.33579981015964929878999
1800,-0.02,87458.27097537980600232017383
1800,-0.01,89717.22374370263958357609528
1800,0.00,92020.85599093999736750072703
1800,0.01,94369.83490771878870662536076
1800,0.02,96764.83298913149533157840712
1800,0.03,99206.52803473617135108539572
1800,0.04,101695.60314855644325196897515
1800,0.05,104232.74673908150989914891296
1800,0.06,106818.65251926614253564209566
1800,0.07,109454.01950653068478256252876
1800,0.08,112139.55202276105263912133671
1800,0.09,114875.95969430873448262676294
1800,0.10,117663.95745199079106848416985
1800,0.11,120504.26553108985553019603881
1800,0.12,123397.60947135413337936197017
1800,0.13,126344.72011699740250567868322
1800,0.14,129346.33361669901317694001624
1800,0.15,132403.19142360388803903692648
1900,-0.1,76544.958267613513064092924383
1900,-0.09,78576.796379303909414547968643
1900,-0.08,80650.36367869081936969070936
1900,-0.07,82766.31962928225827548406089
1900,-0.06,84925.32929374434565477122984
1900,-0.05,87128.06333390130520727571507
1900,-0.04,89375.19801073546480960130766
1900,-0.03,91667.41518438725651523209097
1900,-0.02,94005.40231415521655453244058
1900,-0.01,96389.85245849598533474702433
1900,0.00,98821.46427502430744000080228
1900,0.01,101300.94202051303163129902678
1900,0.02,103828.99555089311084652724238
1900,0.03,106406.34032125360220045128591
1900,0.04,109033.69738584166698471728641
1900,0.05,111711.79339806257066785166521
1900,0.06,114441.36061047968289526113584
1900,0.07,117223.13687481447748923270411
1900,0.08,120057.86564194653244893366805
1900,0.09,122946.29596191352995041161797
1900,0.10,125889.18248391125634659443638
1900,0.11,128887.28545629360216729029806
1900,0.12,131941.37072657256211918767004
1900,0.13,135052.20974141823508585531160
1900,0.14,138220.57954665882412774227423
1900,0.15,141447.26278728063648217790170
2000,-0.1,82173.11886709725501154521659
2000,-0.09,84311.89582677135643307684213
2000,-0.08,86494.59824717863007006920078
2000,-0.07,88721.92030043277628669378134
2000,-0.06,90994.56205249813142278553813
2000,-0.05,93313.22946318966779384289099
2000,-0.04,95678.63438617299369102772530
2000,-0.03,98091.49456896435338116539195
2000,-0.02,100552.53365293062710674470732
2000,-0.01,103062.48117328933108591795337
2000,0.00,105622.07255910861751250087754
2000,0.01,108232.04913330727455597269280
2000,0.02,110893.15811265472636147607764
2000,0.03,113606.15260777103304981717610
2000,0.04,116371.79162312689071746559768
2000,0.05,119190.84005704363143655441746
2000,0.06,122064.06870169322325488017602
2000,0.07,124992.25424309827019590287947
2000,0.08,127976.17926113201225874599941
2000,0.09,131016.63222951832541819647300
2000,0.10,134114.40751583172162470470290
2000,0.11,137270.30538149734880438455731
2000,0.12,140485.13198179099085901336992
2000,0.13,143759.69936583906766603193998
2000,0.14,147094.82547661863507854453223
2000,0.15,150491.33415095738492531887693
