mortgageInterestRate,savingsInterestRate,delta
0.04,0.11,64347.068257731733324458116078
0.04,0.12,61284.508105240722065372964230
0.04,0.13,58060.194627207491897917516507
0.04,0.14,54666.001976639042161661295010
0.04,0.15,51093.407970795138856938322521
0.04,0.16,47333.475212694022607846131843
0.04,0.17,43376.831332606317237628056008
0.04,0.18,39213.648309360656475630181024
0.04,0.19,34833.620829487639206945178765
0.04,0.20,30225.94364035308621418452734
0.05,-0.1,92729.46645809149302047614448
0.05,-0.09,91584.35111909770788580765931
0.05,-0.08,90377.92178534204031087236071
0.05,-0.07,89107.06512476435285130122185
0.05,-0.06,87768.51412563049597562535166
0.05,-0.05,86358.84067853158691480356300
0.05,-0.04,84874.44780762639385542781786
0.05,-0.03,83311.56153487126976287360278
0.05,-0.02,81666.22236024367089735695149
0.05,-0.01,79934.27634019401391304463926
0.05,0.00,78111.365745755038554492158240
0.05,0.01,76192.919280896455382322652893
0.05,0.02,74174.141840833910855996556964
0.05,0.03,72050.003789083570181995318606
0.05,0.04,69815.229731095207052600312698
0.05,0.05,67464.286761295832061861308108
0.05,0.06,64991.372159330746348555424921
0.05,0.07,62390.400510197553757295624310
0.05,0.08,59654.990221829101866406027002
0.05,0.09,56778.449412491463014076499165
0.05,0.10,53753.761139120735915205357612
0.05,0.11,50573.567936425379424417527447
0.05,0.12,47230.155635226619341035472878
0.05,0.13,43715.436427095733819307540284
0.05,0.14,40020.931140871155829889865302
0.05,0.15,36137.750695097656737525880550
0.05,0.16,32056.576688821605090307465572
0.05,0.17,27767.64109149752332700181746
0.05,0.18,23260.70499100886411521672792
0.05,0.19,18525.03635697694185016346194
0.05,0.20,13549.38677462299524002623890
0.06,-0.1,83114.67579644119222125577129
0.06,-0.09,81819.63467428935385186982109
0.06,-0.08,80458.53000063324500919440648
0.06,-0.07,79028.078900079870691283326354
0.06,-0.06,77524.838417184458789597975400
0.06,-0.05,75945.197850063089655127139754
0.06,-0.04,74285.370723487772020103128280
0.06,-0.03,72541.386384823540043700968125
0.06,-0.02,70709.081205413599570298074576
0.06,-0.01,68784.089369231541638243132983
0.06,0.00,66761.833229797711218774068290
0.06,0.01,64637.513215498450337216694406
0.06,0.02,62406.097262550543650840103940
0.06,0.03,60062.309753917130328196571806
0.06,0.04,57600.619941503887560076861568
0.06,0.05,55015.229827943643941132928366
0.06,0.06,52300.061483211874799243217584
0.06,0.07,49448.743770202816449517881441
0.06,0.08,46454.598452234179772818713068
0.06,0.09,43310.625654235526822075229711
0.06,0.10,40009.488648109089024432487208
0.06,0.11,36543.497931429850260577895882
0.06,0.12,32904.594567271693689767201441
0.06,0.13,29084.332751505817388468914970
0.06,0.14,25073.86157241385494550952580
0.06,0.15,20863.90592588847753783116642
0.06,0.16,16444.74654785587376269495301
0.06,0.17,11806.19912384445360507825169
0.06,0.18,6937.59243383933036280032362
0.06,0.19,1827.74548869939702974913817
0.06,0.20,-3535.05638753020496510558836
0.07,-0.1,73478.701816077399820028294417
0.07,-0.09,72026.788827880856284324057801
0.07,-0.08,70503.842683797331399560003598
0.07,-0.07,68906.403110134214378177260803
0.07,-0.06,67230.843056238938889635975230
0.07,-0.05,65473.360768217174505756706767
0.07,-0.04,63629.971491920592792512593629
0.07,-0.03,61696.498788161082239200868209
0.07,-0.02,59668.565442338900759093250528
0.07,-0.01,57541.583949868786846073334569
0.07,0.00,55310.746557949020049053318180
0.07,0.01,52971.014843342284609801110709
0.07,0.02,50517.108804922337610547156862
0.07,0.03,47943.495448785237099635830671
0.07,0.04,45244.376842726497456284075680
0.07,0.05,42413.677615844185549887422424
0.07,0.06,39445.031877940751571561256824
0.07,0.07,36331.769532261321776730562072
0.07,0.08,33066.901953921201931831671585
0.07,0.09,29643.107005138297825799064778
0.07,0.10,26052.713357094809655771158831
0.07,0.11,22287.68408690456257649786475
0.07,0.12,18339.59951675525972892438169
0.07,0.13,14199.63926082624743804297132
0.07,0.14,9858.56344404941884261311172
0.07,0.15,5306.69305518089447266953948
0.07,0.16,533.88939498123275023935853
0.07,0.17,-4470.46742144085415431959285
0.07,0.18,-9717.50095088509313538142103
0.07,0.19,-15218.86194157841781593173002
0.07,0.20,-20986.75293259847913371914595
0.08,-0.1,63835.941655497360299870514885
0.08,-0.09,62220.730988668705005751422300
0.08,-0.08,60529.313995773621480170018692
0.08,-0.07,58758.045738199963356396954187
0.08,-0.06,56903.107529147535859322953319
0.08,-0.05,54960.498736806008075275022077
0.08,-0.04,52926.028206171186736696341398
0.08,-0.03,50795.305282037329644255315558
0.08,-0.02,48563.730414917303824368819910
0.08,-0.01,46226.485330821794132547150072
0.08,0.00,43778.522744971936757752498610
0.08,0.01,41214.555598625119462715252188
0.08,0.02,38529.045797259620254434550025
0.08,0.03,35716.192427388542930413514951
0.08,0.04,32769.919428255373682950758178
0.08,0.05,29683.862693600574435706923869
0.08,0.06,26451.356577579014152872460068
0.08,0.07,23065.419777749705616086255856
0.08,0.08,19518.74056685016363156314504
0.08,0.09,15803.66134380554421912613870
0.08,0.10,11912.16247310528367465143496
0.08,0.11,7835.84538030485602063060230
0.08,0.12,3565.91486997503173362346997
0.08,0.13,-906.83936907692996557266254
0.08,0.14,-5592.06210805307677343114199
0.08,0.15,-10499.85281024802661190224130
0.08,0.16,-15640.78679104285963630137152
0.08,0.17,-21025.93734765964578030516568
0.08,0.18,-26666.89890238079362110136391
0.08,0.19,-32575.81120487221991072921315
0.08,0.20,-38765.38464126822692421735872
0.09,-0.1,54198.468480079924211326819884
0.09,-0.09,52414.076925367278158853565545
0.09,-0.08,50548.119497952482729415546686
0.09,-0.07,48596.759941286053092250907822
0.09,-0.06,46555.981028246351884986812772
0.09,-0.05,44421.576084030328862879446221
0.09,-0.04,42189.140116668392761239448194
0.09,-0.03,39854.060537266794833411594741
0.09,-0.02,37411.507451277948928283027544
0.09,-0.01,34856.423501260764631816384546
0.09,0.00,32183.513240717796589662976890
0.09,0.01,29387.232017682218345753876803
0.09,0.02,26461.774345773648885763958451
0.09,0.03,23401.061739445960080392038779
0.09,0.04,20198.729989110565475340088650
0.09,0.05,16848.11585073345099836319211
0.09,0.06,13342.24312337139213635939518
0.09,0.07,9673.80808693036302801365606
0.09,0.08,5835.16427119494740167067346
0.09,0.09,1818.30652588938610479347491
0.09,0.10,-2385.14563981357579554067020
0.09,0.11,-6783.96548132306215192370169
0.09,0.12,-11387.33724065108872657750468
0.09,0.13,-16204.87520240392417146216205
0.09,0.14,-21246.64362131831620049990241
0.09,0.15,-26523.17756058137617467817411
0.09,0.16,-32045.50468190957404796528622
0.09,0.17,-37825.16803017443704186105589
0.09,0.18,-43874.24985725338884545867240
0.09,0.19,-50205.39653175706552953883433
0.09,0.20,-56831.84458334289382585348578
0.10,-0.1,44576.061609531097634315187353
0.10,-0.09,42617.155542102989973476263212
0.10,-0.08,40571.155089377681265976131417
0.10,-0.07,38434.026645347210948086948998
0.10,-0.06,36201.548183353278373880114348
0.10,-0.05,33869.300489854429786250434671
0.10,-0.04,31432.657994455911773172020126
0.10,-0.03,28886.779177857580239507995751
0.10,-0.02,26226.596538554679235948245860
0.10,-0.01,23446.806098269647138859134281
0.10,0.00,20541.856425198810704801660380
0.10,0.01,17505.937153224266469901588148
0.10,0.02,14332.96697426673112682667075
0.10,0.03,11016.58107993790359912347371
0.10,0.04,7550.11802758908269259438473
0.10,0.05,3926.60600474450893603816436
0.10,0.06,138.74846475115016578127631
0.10,0.07,-3821.09089473065401096958696
0.10,0.08,-7960.90384003130277869186640
0.10,0.09,-12289.05402752142783479452364
