initialPropertyValue,initialMonthlyRentPrice,delta
400000,500,-7054.75613396731955548198400
400000,600,243.63570326873455389643370
400000,700,7542.02754050478866327485132
400000,800,14840.41937774084277265326899
400000,900,22138.81121497689688203168664
400000,1000,29437.20305221295099141010433
400000,1100,36735.59488944900510078852197
400000,1200,44033.98672668505921016693967
400000,1300,51332.37856392111331954535734
400000,1400,58630.77040115716742892377502
400000,1500,65929.162238393221538302192672
400000,1600,73227.554075629275647680610340
400000,1700,80525.94591286532975705902800
400000,1800,87824.33775010138386643744567
400000,1900,95122.72958733743797581586334
400000,2000,102421.12142457349208519428101
400000,2100,109719.51326180954619457269867
400000,2200,117017.90509904560030395111634
400000,2300,124316.29693628165441332953401
400000,2400,131614.68877351770852270795168
400000,2500,138913.08061075376263208636934
400000,2600,146211.47244798981674146478701
400000,2700,153509.86428522587085084320467
400000,2800,160808.25612246192496022162234
400000,2900,168106.64795969797906960004001
400000,3000,175405.03979693403317897845767
410000,500,-8195.80653770240160766396448
410000,600,-897.41470046634749828554682
410000,700,6400.97713676970661109287087
410000,800,13699.36897400576072047128855
410000,900,20997.76081124181482984970618
410000,1000,28296.15264847786893922812384
410000,1100,35594.54448571392304860654154
410000,1200,42892.93632294997715798495919
410000,1300,50191.32816018603126736337685
410000,1400,57489.71999742208537674179452
410000,1500,64788.11183465813948612021217
410000,1600,72086.503671894193595498629858
410000,1700,79384.89550913024770487704752
410000,1800,86683.28734636630181425546519
410000,1900,93981.67918360235592363388285
410000,2000,101280.07102083841003301230052
410000,2100,108578.46285807446414239071819
410000,2200,115876.85469531051825176913585
410000,2300,123175.24653254657236114755352
410000,2400,130473.63836978262647052597119
410000,2500,137772.03020701868057990438885
410000,2600,145070.42204425473468928280652
410000,2700,152368.81388149078879866122418
410000,2800,159667.20571872684290803964186
410000,2900,166965.59755596289701741805952
410000,3000,174263.98939319895112679647719
420000,500,-9336.85694143748365984594499
420000,600,-2038.46510420142955046752731
420000,700,5259.92673303462455891089038
420000,800,12558.31857027067866828930802
420000,900,19856.71040750673277766772571
420000,1000,27155.10224474278688704614334
420000,1100,34453.49408197884099642456102
420000,1200,41751.88591921489510580297867
420000,1300,49050.27775645094921518139633
420000,1400,56348.66959368700332455981399
420000,1500,63647.06143092305743393823168
420000,1600,70945.45326815911154331664935
420000,1700,78243.845105395165652695067013
420000,1800,85542.23694263121976207348468
420000,1900,92840.62877986727387145190235
420000,2000,100139.02061710332798083032001
420000,2100,107437.41245433938209020873768
420000,2200,114735.80429157543619958715535
420000,2300,122034.19612881149030896557302
420000,2400,129332.58796604754441834399068
420000,2500,136630.97980328359852772240835
420000,2600,143929.37164051965263710082602
420000,2700,151227.76347775570674647924368
420000,2800,158526.15531499176085585766135
420000,2900,165824.54715222781496523607902
420000,3000,173122.93898946386907461449668
430000,500,-10477.90734517256571202792552
430000,600,-3179.51550793651160264950780
430000,700,4118.87632929954250672890984
430000,800,11417.26816653559661610732752
430000,900,18715.66000377165072548574516
430000,1000,26014.05184100770483486416286
430000,1100,33312.44367824375894424258051
430000,1200,40610.83551547981305362099816
430000,1300,47909.22735271586716299941585
430000,1400,55207.61918995192127237783351
430000,1500,62506.01102718797538175625119
430000,1600,69804.40286442402949113466886
430000,1700,77102.794701660083600513086514
430000,1800,84401.18653889613770989150418
430000,1900,91699.57837613219181926992185
430000,2000,98997.97021336824592864833952
430000,2100,106296.36205060430003802675718
430000,2200,113594.75388784035414740517485
430000,2300,120893.14572507640825678359252
430000,2400,128191.53756231246236616201018
430000,2500,135489.92939954851647554042785
430000,2600,142788.32123678457058491884551
430000,2700,150086.71307402062469429726318
430000,2800,157385.10491125667880367568085
430000,2900,164683.49674849273291305409851
430000,3000,171981.88858572878702243251618
440000,500,-11618.95774890764776420990601
440000,600,-4320.56591167159365483148838
440000,700,2977.82592556446045454692931
440000,800,10276.21776280051456392534696
440000,900,17574.60960003656867330376463
440000,1000,24873.00143727262278268218231
440000,1100,32171.39327450867689206059997
440000,1200,39469.78511174473100143901764
440000,1300,46768.17694898078511081743531
440000,1400,54066.56878621683922019585298
440000,1500,61364.96062345289332957427064
440000,1600,68663.35246068894743895268830
440000,1700,75961.74429792500154833110597
440000,1800,83260.13613516105565770952363
440000,1900,90558.52797239710976708794130
440000,2000,97856.91980963316387646635897
440000,2100,105155.31164686921798584477663
440000,2200,112453.70348410527209522319430
440000,2300,119752.09532134132620460161197
440000,2400,127050.48715857738031398002964
440000,2500,134348.87899581343442335844730
440000,2600,141647.27083304948853273686497
440000,2700,148945.66267028554264211528264
440000,2800,156244.05450752159675149370030
440000,2900,163542.44634475765086087211797
440000,3000,170840.83818199370497025053564
450000,500,-12760.00815264272981639188649
450000,600,-5461.61631540667570701346882
450000,700,1836.77552182937840236494883
450000,800,9135.16735906543251174336653
450000,900,16433.55919630148662112178415
450000,1000,23731.95103353754073050020181
450000,1100,31030.34287077359483987861950
450000,1200,38328.73470800964894925703716
450000,1300,45627.12654524570305863545483
450000,1400,52925.51838248175716801387249
450000,1500,60223.91021971781127739229016
450000,1600,67522.30205695386538677070784
450000,1700,74820.69389418991949614912552
450000,1800,82119.08573142597360552754317
450000,1900,89417.47756866202771490596084
450000,2000,96715.86940589808182428437850
450000,2100,104014.26124313413593366279617
450000,2200,111312.65308037019004304121384
450000,2300,118611.04491760624415241963150
450000,2400,125909.43675484229826179804917
450000,2500,133207.82859207835237117646683
450000,2600,140506.22042931440648055488450
450000,2700,147804.61226655046058993330217
450000,2800,155103.00410378651469931171983
450000,2900,162401.39594102256880869013750
450000,3000,169699.78777825862291806855516
460000,500,-13901.05855637781186857386699
460000,600,-6602.66671914175775919544933
460000,700,695.72511809429635018296832
460000,800,7994.11695533035045956138602
460000,900,15292.50879256640456893980366
460000,1000,22590.90062980245867831822136
460000,1100,29889.29246703851278769663900
460000,1200,37187.68430427456689707505666
460000,1300,44486.07614151062100645347433
460000,1400,51784.46797874667511583189199
460000,1500,59082.85981598272922521030967
460000,1600,66381.25165321878333458872734
460000,1700,73679.64349045483744396714501
460000,1800,80978.03532769089155334556267
460000,1900,88276.42716492694566272398034
460000,2000,95574.81900216299977210239801
460000,2100,102873.21083939905388148081567
460000,2200,110171.60267663510799085923334
460000,2300,117469.99451387116210023765101
460000,2400,124768.38635110721620961606868
460000,2500,132066.77818834327031899448634
460000,2600,139365.17002557932442837290401
460000,2700,146663.56186281537853775132167
460000,2800,153961.95370005143264712973934
460000,2900,161260.34553728748675650815701
460000,3000,168558.73737452354086588657468
470000,500,-15042.10896011289392075584750
470000,600,-7743.71712287683981137742988
470000,700,-445.32528564078570199901217
470000,800,6853.06655159526840737940546
470000,900,14151.45838883132251675782314
470000,1000,21449.85022606737662613624079
470000,1100,28748.24206330343073551465846
470000,1200,36046.63390053948484489307613
470000,1300,43345.02573777553895427149382
470000,1400,50643.41757501159306364991149
470000,1500,57941.80941224764717302832915
470000,1600,65240.20124948370128240674682
470000,1700,72538.59308671975539178516447
470000,1800,79836.98492395580950116358215
470000,1900,87135.37676119186361054199981
470000,2000,94433.76859842791771992041747
470000,2100,101732.16043566397182929883514
470000,2200,109030.55227290002593867725281
470000,2300,116328.94411013608004805567048
470000,2400,123627.33594737213415743408814
470000,2500,130925.72778460818826681250581
470000,2600,138224.11962184424237619092348
470000,2700,145522.51145908029648556934114
470000,2800,152820.90329631635059494775881
470000,2900,160119.29513355240470432617648
470000,3000,167417.68697078845881370459415
480000,500,-16183.15936384797597293782807
480000,600,-8884.76752661192186355941039
480000,700,-1586.37568937586775418099275
480000,800,5712.01614786018635519742498
480000,900,13010.40798509624046457584261
480000,1000,20308.79982233229457395426026
480000,1100,27607.19165956834868333267794
480000,1200,34905.58349680440279271109559
480000,1300,42203.97533404045690208951328
480000,1400,49502.36717127651101146793098
480000,1500,56800.75900851256512084634861
480000,1600,64099.15084574861923022476630
480000,1700,71397.54268298467333960318394
480000,1800,78695.93452022072744898160162
480000,1900,85994.32635745678155836001928
480000,2000,93292.71819469283566773843695
480000,2100,100591.11003192888977711685462
480000,2200,107889.50186916494388649527228
480000,2300,115187.89370640099799587368995
480000,2400,122486.28554363705210525210762
480000,2500,129784.67738087310621463052528
480000,2600,137083.06921810916032400894295
480000,2700,144381.46105534521443338736062
480000,2800,151679.85289258126854276577829
480000,2900,158978.24472981732265214419595
480000,3000,166276.63656705337676152261362
490000,500,-17324.20976758305802511980849
490000,600,-10025.81793034700391574139082
490000,700,-2727.42609311094980636297320
490000,800,4570.96574412510430301544451
490000,900,11869.35758136115841239386215
490000,1000,19167.74941859721252177227983
490000,1100,26466.14125583326663115069749
490000,1200,33764.53309306932074052911515
490000,1300,41062.92493030537484990753283
490000,1400,48361.31676754142895928595050
490000,1500,55659.70860477748306866436814
490000,1600,62958.10044201353717804278586
490000,1700,70256.49227924959128742120350
490000,1800,77554.88411648564539679962115
490000,1900,84853.27595372169950617803883
490000,2000,92151.66779095775361555645650
490000,2100,99450.05962819380772493487417
490000,2200,106748.45146542986183431329183
490000,2300,114046.84330266591594369170950
490000,2400,121345.23513990197005307012716
490000,2500,128643.62697713802416244854483
490000,2600,135942.01881437407827182696250
490000,2700,143240.41065161013238120538016
490000,2800,150538.80248884618649058379783
490000,2900,157837.19432608224059996221550
490000,3000,165135.58616331829470934063317
500000,500,-18465.26017131814007730178903
500000,600,-11166.86833408208596792337135
500000,700,-3868.47649684603185854495372
500000,800,3429.91534039002225083346400
500000,900,10728.30717762607636021188165
500000,1000,18026.69901486213046959029928
500000,1100,25325.09085209818457896871695
500000,1200,32623.48268933423868834713462
500000,1300,39921.87452657029279772555229
500000,1400,47220.26636380634690710396994
500000,1500,54518.65820104240101648238765
500000,1600,61817.05003827845512586080532
500000,1700,69115.44187551450923523922296
500000,1800,76413.83371275056334461764063
500000,1900,83712.22554998661745399605829
500000,2000,91010.61738722267156337447596
500000,2100,98309.00922445872567275289364
500000,2200,105607.40106169477978213131130
500000,2300,112905.79289893083389150972897
500000,2400,120204.18473616688800088814663
500000,2500,127502.57657340294211026656430
500000,2600,134800.96841063899621964498197
500000,2700,142099.36024787505032902339964
500000,2800,149397.75208511110443840181730
500000,2900,156696.14392234715854778023497
500000,3000,163994.53575958321265715865264
