initialPropertyValue,initialMonthlyRentPrice,delta
230000,2400,151012.54563701410340980162026
230000,2500,158310.93747425015751918003794
230000,2600,165609.32931148621162855845560
230000,2700,172907.72114872226573793687327
230000,2800,180206.11298595831984731529093
230000,2900,187504.50482319437395669370861
230000,3000,194802.89666043042806607212627
240000,500,11202.05032579399327942970407
240000,600,18500.44216303004738880812172
240000,700,25798.834000266101498186539400
240000,800,33097.225837502155607564957070
240000,900,40395.617674738209716943374735
240000,1000,47694.009511974263826321792398
240000,1100,54992.401349210317935700210070
240000,1200,62290.793186446372045078627736
240000,1300,69589.185023682426154457045403
240000,1400,76887.576860918480263835463068
240000,1500,84185.96869815453437321388073
240000,1600,91484.36053539058848259229840
240000,1700,98782.75237262664259197071607
240000,1800,106081.14420986269670134913373
240000,1900,113379.53604709875081072755140
240000,2000,120677.92788433480492010596907
240000,2100,127976.31972157085902948438674
240000,2200,135274.71155880691313886280440
240000,2300,142573.10339604296724824122207
240000,2400,149871.49523327902135761963974
240000,2500,157169.88707051507546699805740
240000,2600,164468.27890775112957637647507
240000,2700,171766.67074498718368575489274
240000,2800,179065.06258222323779513331040
240000,2900,186363.45441945929190451172807
240000,3000,193661.84625669534601389014573
250000,500,10060.99992205891122724772358
250000,600,17359.39175929496533662614126
250000,700,24657.783596531019446004558917
250000,800,31956.175433767073555382976588
250000,900,39254.567271003127664761394254
250000,1000,46552.959108239181774139811926
250000,1100,53851.350945475235883518229588
250000,1200,61149.742782711289992896647259
250000,1300,68448.134619947344102275064923
250000,1400,75746.526457183398211653482586
250000,1500,83044.91829441945232103190026
250000,1600,90343.31013165550643041031792
250000,1700,97641.70196889156053978873559
250000,1800,104940.09380612761464916715325
250000,1900,112238.48564336366875854557092
250000,2000,119536.87748059972286792398859
250000,2100,126835.26931783577697730240626
250000,2200,134133.66115507183108668082392
250000,2300,141432.05299230788519605924159
250000,2400,148730.44482954393930543765926
250000,2500,156028.83666677999341481607693
250000,2600,163327.22850401604752419449459
250000,2700,170625.62034125210163357291226
250000,2800,177924.01217848815574295132993
250000,2900,185222.40401572420985232974759
250000,3000,192520.79585296026396170816526
260000,500,8919.94951832382917506574310
260000,600,16218.34135555988328444416076
260000,700,23516.73319279593739382257843
260000,800,30815.125030031991503200996102
260000,900,38113.516867268045612579413767
260000,1000,45411.908704504099721957831437
260000,1100,52710.300541740153831336249101
260000,1200,60008.692378976207940714666770
260000,1300,67307.084216212262050093084436
260000,1400,74605.476053448316159471502101
260000,1500,81903.86789068437026884991977
260000,1600,89202.25972792042437822833744
260000,1700,96500.65156515647848760675510
260000,1800,103799.04340239253259698517277
260000,1900,111097.43523962858670636359043
260000,2000,118395.82707686464081574200811
260000,2100,125694.21891410069492512042577
260000,2200,132992.61075133674903449884344
260000,2300,140291.00258857280314387726110
260000,2400,147589.39442580885725325567877
260000,2500,154887.78626304491136263409644
260000,2600,162186.17810028096547201251410
260000,2700,169484.56993751701958139093177
260000,2800,176782.96177475307369076934944
260000,2900,184081.35361198912780014776711
260000,3000,191379.74544922518190952618478
270000,500,7778.89911458874712288376254
270000,600,15077.29095182480123226218018
270000,700,22375.68278906085534164059787
270000,800,29674.07462629690945101901552
270000,900,36972.466463532963560397433196
270000,1000,44270.858300769017669775850859
270000,1100,51569.250138005071779154268526
270000,1200,58867.641975241125888532686195
270000,1300,66166.033812477179997911103864
270000,1400,73464.425649713234107289521530
270000,1500,80762.81748694928821666793920
270000,1600,88061.20932418534232604635686
270000,1700,95359.60116142139643542477453
270000,1800,102657.99299865745054480319220
270000,1900,109956.38483589350465418160986
270000,2000,117254.77667312955876356002753
270000,2100,124553.16851036561287293844520
270000,2200,131851.56034760166698231686286
270000,2300,139149.95218483772109169528053
270000,2400,146448.34402207377520107369820
270000,2500,153746.73585930982931045211586
270000,2600,161045.12769654588341983053353
270000,2700,168343.51953378193752920895120
270000,2800,175641.91137101799163858736886
270000,2900,182940.30320825404574796578653
270000,3000,190238.69504549009985734420420
280000,500,6637.84871085366507070178211
280000,600,13936.24054808971918008019980
280000,700,21234.63238532577328945861747
280000,800,28533.02422256182739883703514
280000,900,35831.416059797881508215452793
280000,1000,43129.807897033935617593870461
280000,1100,50428.199734269989726972288133
280000,1200,57726.591571506043836350705796
280000,1300,65024.983408742097945729123460
280000,1400,72323.375245978152055107541127
280000,1500,79621.76708321420616448595880
280000,1600,86920.15892045026027386437646
280000,1700,94218.55075768631438324279413
280000,1800,101516.94259492236849262121180
280000,1900,108815.33443215842260199962946
280000,2000,116113.72626939447671137804713
280000,2100,123412.11810663053082075646480
280000,2200,130710.50994386658493013488246
280000,2300,138008.90178110263903951330013
280000,2400,145307.29361833869314889171780
280000,2500,152605.68545557474725827013546
280000,2600,159904.07729281080136764855313
280000,2700,167202.46913004685547702697079
280000,2800,174500.86096728290958640538846
280000,2900,181799.25280451896369578380613
280000,3000,189097.64464175501780516222380
290000,500,5496.79830711858301851980160
290000,600,12795.19014435463712789821925
290000,700,20093.58198159069123727663695
290000,800,27391.97381882674534665505460
290000,900,34690.36565606279945603347227
290000,1000,41988.757493298853565411889934
290000,1100,49287.149330534907674790307595
290000,1200,56585.541167770961784168725271
290000,1300,63883.933005007015893547142937
290000,1400,71182.324842243070002925560605
290000,1500,78480.716679479124112303978270
290000,1600,85779.10851671517822168239594
290000,1700,93077.50035395123233106081361
290000,1800,100375.89219118728644043923127
290000,1900,107674.28402842334054981764894
290000,2000,114972.67586565939465919606660
290000,2100,122271.06770289544876857448427
290000,2200,129569.45954013150287795290194
290000,2300,136867.85137736755698733131961
290000,2400,144166.24321460361109670973727
290000,2500,151464.63505183966520608815494
290000,2600,158763.02688907571931546657260
290000,2700,166061.41872631177342484499027
290000,2800,173359.81056354782753422340794
290000,2900,180658.20240078388164360182561
290000,3000,187956.59423801993575298024327
300000,500,4355.74790338350096633782107
300000,600,11654.13974061955507571623871
300000,700,18952.53157785560918509465640
300000,800,26250.92341509166329447307405
300000,900,33549.31525232771740385149173
300000,1000,40847.707089563771513229909390
300000,1100,48146.098926799825622608327059
300000,1200,55444.490764035879731986744723
300000,1300,62742.882601271933841365162390
300000,1400,70041.274438507987950743580061
300000,1500,77339.666275744042060121997719
300000,1600,84638.05811298009616950041539
300000,1700,91936.44995021615027887883306
300000,1800,99234.84178745220438825725072
300000,1900,106533.23362468825849763566838
300000,2000,113831.62546192431260701408606
300000,2100,121130.01729916036671639250372
300000,2200,128428.40913639642082577092139
300000,2300,135726.80097363247493514933906
300000,2400,143025.19281086852904452775672
300000,2500,150323.58464810458315390617439
300000,2600,157621.97648534063726328459206
300000,2700,164920.36832257669137266300973
300000,2800,172218.76015981274548204142739
300000,2900,179517.15199704879959141984506
300000,3000,186815.54383428485370079826273
310000,500,3214.69749964841891415584058
310000,600,10513.08933688447302353425827
310000,700,17811.48117412052713291267591
310000,800,25109.87301135658124229109358
310000,900,32408.26484859263535166951125
310000,1000,39706.65668582868946104792891
310000,1100,47005.048523064743570426346567
310000,1200,54303.440360300797679804764235
310000,1300,61601.832197536851789183181907
310000,1400,68900.224034772905898561599577
310000,1500,76198.615872008960007940017234
310000,1600,83497.00770924501411731843490
310000,1700,90795.39954648106822669685258
310000,1800,98093.79138371712233607527024
310000,1900,105392.18322095317644545368791
310000,2000,112690.57505818923055483210557
310000,2100,119988.96689542528466421052324
310000,2200,127287.35873266133877358894091
310000,2300,134585.75056989739288296735857
310000,2400,141884.14240713344699234577624
310000,2500,149182.53424436950110172419390
310000,2600,156480.92608160555521110261158
310000,2700,163779.31791884160932048102924
310000,2800,171077.70975607766342985944690
310000,2900,178376.10159331371753923786458
310000,3000,185674.49343054977164861628224
320000,500,2073.64709591333686197386005
320000,600,9372.03893314939097135227773
320000,700,16670.43077038544508073069539
320000,800,23968.82260762149919010911305
320000,900,31267.21444485755329948753073
320000,1000,38565.60628209360740886594838
320000,1100,45863.998119329661518244366059
320000,1200,53162.389956565715627622783726
320000,1300,60460.781793801769737001201397
320000,1400,67759.173631037823846379619058
320000,1500,75057.565468273877955758036730
320000,1600,82355.95730550993206513645439
320000,1700,89654.34914274598617451487206
320000,1800,96952.74097998204028389328972
320000,1900,104251.13281721809439327170740
320000,2000,111549.52465445414850265012506
320000,2100,118847.91649169020261202854273
320000,2200,126146.30832892625672140696039
320000,2300,133444.70016616231083078537806
320000,2400,140743.09200339836494016379573
320000,2500,148041.48384063441904954221340
