initialMonthlyRentPrice,rentPriceYearlyIncrease,delta
1100,-0.05,37548.590775105347869535341295
1100,-0.04,38829.559488149141378783016275
1100,-0.03,40136.369412457695132894927649
1100,-0.02,41469.415882299390264012791014
1100,-0.01,42829.097458672807151617587060
1100,0.00,44215.815929306725422529561559
1100,0.01,45629.976308660123950908225350
1100,0.02,47071.986837922180858252354387
1100,0.03,48542.258985012273513399989677
1100,0.04,50041.207444579978532528437329
1100,0.05,51569.250138005071779154268526
1100,0.06,53126.808213397528364133319543
1100,0.07,54714.306045597522645660691735
1100,0.08,56332.171236175428229270751531
1100,0.09,57980.834613431817967837130468
1100,0.10,59660.730232397463961572725136
1100,0.11,61372.295374833337558029697238
1100,0.12,63115.970549230609352099473535
1100,0.13,64892.199490810649186012745891
1100,0.14,66701.429161525026149339471241
1100,0.15,68544.109750055508578988871610
1200,-0.1,36993.283152593838513145144620
1200,-0.09,38256.097409163368269702907291
1200,-0.08,39544.998510324727074527544110
1200,-0.07,40860.400129478698449923117106
1200,-0.06,42202.719460095374188018341102
1200,-0.05,43572.377215714154350766583758
1200,-0.04,44969.797629943747269945865560
1200,-0.03,46395.408456462169547158859782
1200,-0.02,47849.640969016746053832892544
1200,-0.01,49332.929961424109931219942777
1200,0.00,50845.713747570202590396642226
1200,0.01,52388.434161410273712264275458
1200,0.02,53961.536556968881247548779860
1200,0.03,55565.469808339891416800745631
1200,0.04,57200.686309686478710395415792
1200,0.05,58867.641975241125888532686195
1200,0.06,60566.796239305623981237105488
1200,0.07,62298.612056251072288357875148
1200,0.08,64063.555900517878379568849477
1200,0.09,65862.097766615758094368535588
1200,0.10,67694.711169123735542080093408
1200,0.11,69561.873142690143101851335702
1200,0.12,71464.064242032621422654728022
1200,0.13,73401.768541938119423287388772
1200,0.14,75375.473637262894292371089154
1200,0.15,77385.670642932511488352253190
1300,-0.1,42468.811754609285341241267159
1300,-0.09,43836.860532559609244178843384
1300,-0.08,45233.170058817747949405533267
1300,-0.07,46658.188479567883606084070676
1300,-0.06,48112.367754402615655687230012
1300,-0.05,49596.163656322960831997826224
1300,-0.04,51110.035771738353161108714841
1300,-0.03,52654.447500466643961422791916
1300,-0.02,54229.866055734101843652994071
1300,-0.01,55836.762464175412710822298496
1300,0.00,57475.611565833679758263722897
1300,0.01,59146.892014160423473620325568
1300,0.02,60851.086276015581636845205332
1300,0.03,62588.680631667509320201501586
1300,0.04,64360.165174792978888262394267
1300,0.05,66166.033812477179997911103864
1300,0.06,68006.784265213719598340891429
1300,0.07,69882.918066904621931055058561
1300,0.08,71794.940564860328529866947417
1300,0.09,73743.360919799698220899940700
1300,0.10,75728.692105850007122587461676
1300,0.11,77751.450910546948645672974156
1300,0.12,79812.15793483463349320998251
1300,0.13,81911.33759306558966056203166
1300,0.14,84049.51811300076243540270707
1300,0.15,86227.23153580951439771563478
1400,-0.1,47944.340356624732169337389694
