mortgageInterestRate,propertyValueYearlyIncrease,initialMonthlyRentPrice,delta
0,-0.05,1000,13716.769733591163825533381448
0,-0.05,1100,20916.582020108594674899271634
0,-0.05,1200,28116.394306626025524265161817
0,-0.05,1300,35316.206593143456373631052004
0,-0.05,1400,42516.018879660887222996942188
0,-0.05,1500,49715.831166178318072362832372
0,-0.05,1600,56915.643452695748921728722559
0,-0.05,1700,64115.455739213179771094612741
0,-0.05,1800,71315.268025730610620460502929
0,-0.05,1900,78515.080312248041469826393114
0,-0.05,2000,85714.89259876547231919228329
0,-0.04,500,-13963.939678995990421296069478
0,-0.04,600,-6764.127392478559571930179291
0,-0.04,700,435.684894038871277435710894
0,-0.04,800,7635.497180556302126801601082
0,-0.04,900,14835.309467073732976167491264
0,-0.04,1000,22035.121753591163825533381448
0,-0.04,1100,29234.934040108594674899271634
0,-0.04,1200,36434.746326626025524265161817
0,-0.04,1300,43634.558613143456373631052004
0,-0.04,1400,50834.370899660887222996942188
0,-0.04,1500,58034.183186178318072362832372
0,-0.04,1600,65233.995472695748921728722559
0,-0.04,1700,72433.807759213179771094612741
0,-0.04,1800,79633.62004573061062046050293
0,-0.04,1900,86833.43233224804146982639311
0,-0.04,2000,94033.24461876547231919228329
0,-0.03,500,-5291.674058995990421296069478
0,-0.03,600,1908.138227521440428069820709
0,-0.03,700,9107.950514038871277435710894
0,-0.03,800,16307.762800556302126801601082
0,-0.03,900,23507.575087073732976167491264
0,-0.03,1000,30707.387373591163825533381448
0,-0.03,1100,37907.199660108594674899271634
0,-0.03,1200,45107.011946626025524265161817
0,-0.03,1300,52306.824233143456373631052004
0,-0.03,1400,59506.636519660887222996942188
0,-0.03,1500,66706.448806178318072362832372
0,-0.03,1600,73906.261092695748921728722559
0,-0.03,1700,81106.07337921317977109461274
0,-0.03,1800,88305.88566573061062046050293
0,-0.03,1900,95505.69795224804146982639311
0,-0.03,2000,102705.51023876547231919228329
0,-0.02,500,3745.680161004009578703930522
0,-0.02,600,10945.492447521440428069820709
0,-0.02,700,18145.304734038871277435710894
0,-0.02,800,25345.117020556302126801601082
0,-0.02,900,32544.929307073732976167491264
0,-0.02,1000,39744.741593591163825533381448
0,-0.02,1100,46944.553880108594674899271634
0,-0.02,1200,54144.366166626025524265161817
0,-0.02,1300,61344.178453143456373631052004
0,-0.02,1400,68543.990739660887222996942188
0,-0.02,1500,75743.803026178318072362832372
0,-0.02,1600,82943.61531269574892172872256
0,-0.02,1700,90143.42759921317977109461274
0,-0.02,1800,97343.23988573061062046050293
0,-0.02,1900,104543.05217224804146982639311
0,-0.02,2000,111742.86445876547231919228329
0,-0.01,500,13159.530781004009578703930522
0,-0.01,600,20359.343067521440428069820709
0,-0.01,700,27559.155354038871277435710894
0,-0.01,800,34758.967640556302126801601082
0,-0.01,900,41958.779927073732976167491264
0,-0.01,1000,49158.592213591163825533381448
0,-0.01,1100,56358.404500108594674899271634
0,-0.01,1200,63558.216786626025524265161817
0,-0.01,1300,70758.029073143456373631052004
0,-0.01,1400,77957.841359660887222996942188
0,-0.01,1500,85157.65364617831807236283237
0,-0.01,1600,92357.46593269574892172872256
0,-0.01,1700,99557.27821921317977109461274
0,-0.01,1800,106757.09050573061062046050293
0,-0.01,1900,113956.90279224804146982639311
0,-0.01,2000,121156.71507876547231919228329
0,0.00,500,22961.520801004009578703930522
0,0.00,600,30161.333087521440428069820709
0,0.00,700,37361.145374038871277435710894
0,0.00,800,44560.957660556302126801601082
0,0.00,900,51760.769947073732976167491264
0,0.00,1000,58960.582233591163825533381448
0,0.00,1100,66160.394520108594674899271634
0,0.00,1200,73360.206806626025524265161817
0,0.00,1300,80560.01909314345637363105200
0,0.00,1400,87759.83137966088722299694219
0,0.00,1500,94959.64366617831807236283237
0,0.00,1600,102159.45595269574892172872256
0,0.00,1700,109359.26823921317977109461274
0,0.00,1800,116559.08052573061062046050293
0,0.00,1900,123758.89281224804146982639311
0,0.00,2000,130958.70509876547231919228329
0,0.01,500,33163.530821004009578703930522
0,0.01,600,40363.343107521440428069820709
0,0.01,700,47563.155394038871277435710894
0,0.01,800,54762.967680556302126801601082
0,0.01,900,61962.779967073732976167491264
0,0.01,1000,69162.592253591163825533381448
0,0.01,1100,76362.404540108594674899271634
0,0.01,1200,83562.21682662602552426516182
0,0.01,1300,90762.02911314345637363105200
0,0.01,1400,97961.84139966088722299694219
0,0.01,1500,105161.65368617831807236283237
0,0.01,1600,112361.46597269574892172872256
0,0.01,1700,119561.27825921317977109461274
0,0.01,1800,126761.09054573061062046050293
0,0.01,1900,133960.90283224804146982639311
0,0.01,2000,141160.71511876547231919228329
0,0.02,500,43777.681441004009578703930522
0,0.02,600,50977.493727521440428069820709
0,0.02,700,58177.306014038871277435710894
0,0.02,800,65377.118300556302126801601082
0,0.02,900,72576.930587073732976167491264
0,0.02,1000,79776.74287359116382553338145
0,0.02,1100,86976.55516010859467489927163
0,0.02,1200,94176.36744662602552426516182
0,0.02,1300,101376.17973314345637363105200
0,0.02,1400,108575.99201966088722299694219
0,0.02,1500,115775.80430617831807236283237
0,0.02,1600,122975.61659269574892172872256
0,0.02,1700,130175.42887921317977109461274
0,0.02,1800,137375.24116573061062046050293
0,0.02,1900,144575.05345224804146982639311
0,0.02,2000,151774.86573876547231919228329
0,0.03,500,54816.335661004009578703930522
0,0.03,600,62016.147947521440428069820709
0,0.03,700,69215.960234038871277435710894
0,0.03,800,76415.772520556302126801601082
0,0.03,900,83615.58480707373297616749126
0,0.03,1000,90815.39709359116382553338145
0,0.03,1100,98015.20938010859467489927163
0,0.03,1200,105215.02166662602552426516182
0,0.03,1300,112414.83395314345637363105200
0,0.03,1400,119614.64623966088722299694219
0,0.03,1500,126814.45852617831807236283237
0,0.03,1600,134014.27081269574892172872256
0,0.03,1700,141214.08309921317977109461274
0,0.03,1800,148413.89538573061062046050293
0,0.03,1900,155613.70767224804146982639311
0,0.03,2000,162813.51995876547231919228329
0,0.04,500,66292.101281004009578703930522
0,0.04,600,73491.913567521440428069820709
0,0.04,700,80691.72585403887127743571089
0,0.04,800,87891.53814055630212680160108
0,0.04,900,95091.35042707373297616749126
0,0.04,1000,102291.16271359116382553338145
0,0.04,1100,109490.97500010859467489927163
0,0.04,1200,116690.78728662602552426516182
0,0.04,1300,123890.59957314345637363105200
0,0.04,1400,131090.41185966088722299694219
0,0.04,1500,138290.22414617831807236283237
0,0.04,1600,145490.03643269574892172872256
0,0.04,1700,152689.84871921317977109461274
0,0.04,1800,159889.66100573061062046050293
0,0.04,1900,167089.47329224804146982639311
0,0.04,2000,174289.28557876547231919228329
0,0.05,500,78217.833301004009578703930522
0,0.05,600,85417.64558752144042806982071
0,0.05,700,92617.45787403887127743571089
0,0.05,800,99817.27016055630212680160108
0,0.05,900,107017.08244707373297616749126
0,0.05,1000,114216.89473359116382553338145
0,0.05,1100,121416.70702010859467489927163
0,0.05,1200,128616.51930662602552426516182
0,0.05,1300,135816.33159314345637363105200
0,0.05,1400,143016.14387966088722299694219
0,0.05,1500,150215.95616617831807236283237
0,0.05,1600,157415.76845269574892172872256
0,0.05,1700,164615.58073921317977109461274
0,0.05,1800,171815.39302573061062046050293
0,0.05,1900,179015.20531224804146982639311
0,0.05,2000,186215.01759876547231919228329
0,0.06,500,90606.63632100400957870393052
0,0.06,600,97806.44860752144042806982071
0,0.06,700,105006.26089403887127743571089
0,0.06,800,112206.07318055630212680160108
0,0.06,900,119405.88546707373297616749126
0,0.06,1000,126605.69775359116382553338145
0,0.06,1100,133805.51004010859467489927163
0,0.06,1200,141005.32232662602552426516182
0,0.06,1300,148205.13461314345637363105200
0,0.06,1400,155404.94689966088722299694219
0,0.06,1500,162604.75918617831807236283237
0,0.06,1600,169804.57147269574892172872256
0,0.06,1700,177004.38375921317977109461274
0,0.06,1800,184204.19604573061062046050293
0,0.06,1900,191404.00833224804146982639311
0,0.06,2000,198603.82061876547231919228329
0,0.07,500,103471.86694100400957870393052
0,0.07,600,110671.67922752144042806982071
0,0.07,700,117871.49151403887127743571089
0,0.07,800,125071.30380055630212680160108
0,0.07,900,132271.11608707373297616749126
0,0.07,1000,139470.92837359116382553338145
0,0.07,1100,146670.74066010859467489927163
0,0.07,1200,153870.55294662602552426516182
0,0.07,1300,161070.36523314345637363105200
0,0.07,1400,168270.17751966088722299694219
0,0.07,1500,175469.98980617831807236283237
0,0.07,1600,182669.80209269574892172872256
0,0.07,1700,189869.61437921317977109461274
0,0.07,1800,197069.42666573061062046050293
0,0.07,1900,204269.23895224804146982639311
0,0.07,2000,211469.05123876547231919228329
0,0.08,500,116827.13616100400957870393052
0,0.08,600,124026.94844752144042806982071
0,0.08,700,131226.76073403887127743571089
0,0.08,800,138426.57302055630212680160108
0,0.08,900,145626.38530707373297616749126
0,0.08,1000,152826.19759359116382553338145
0,0.08,1100,160026.00988010859467489927163
0,0.08,1200,167225.82216662602552426516182
0,0.08,1300,174425.63445314345637363105200
0,0.08,1400,181625.44673966088722299694219
0,0.08,1500,188825.25902617831807236283237
0,0.08,1600,196025.07131269574892172872256
0,0.08,1700,203224.88359921317977109461274
0,0.08,1800,210424.69588573061062046050293
0,0.08,1900,217624.50817224804146982639311
0,0.08,2000,224824.32045876547231919228329
0,0.09,500,130686.31178100400957870393052
0,0.09,600,137886.12406752144042806982071
0,0.09,700,145085.93635403887127743571089
0,0.09,800,152285.74864055630212680160108
0,0.09,900,159485.56092707373297616749126
0,0.09,1000,166685.37321359116382553338145
0,0.09,1100,173885.18550010859467489927163
0,0.09,1200,181084.99778662602552426516182
0,0.09,1300,188284.81007314345637363105200
0,0.09,1400,195484.62235966088722299694219
0,0.09,1500,202684.43464617831807236283237
0,0.09,1600,209884.24693269574892172872256
0,0.09,1700,217084.05921921317977109461274
0,0.09,1800,224283.87150573061062046050293
0,0.09,1900,231483.68379224804146982639311
0,0.09,2000,238683.49607876547231919228329
0,0.10,500,145063.52080100400957870393052
0,0.10,600,152263.33308752144042806982071
0,0.10,700,159463.14537403887127743571089
0,0.10,800,166662.95766055630212680160108
0,0.10,900,173862.76994707373297616749126
0,0.10,1000,181062.58223359116382553338145
0,0.10,1100,188262.39452010859467489927163
0,0.10,1200,195462.20680662602552426516182
0,0.10,1300,202662.01909314345637363105200
0,0.10,1400,209861.83137966088722299694219
0,0.10,1500,217061.64366617831807236283237
0,0.10,1600,224261.45595269574892172872256
0,0.10,1700,231461.26823921317977109461274
0,0.10,1800,238661.08052573061062046050293
0,0.10,1900,245860.89281224804146982639311
0,0.10,2000,253060.70509876547231919228329
0,0.11,500,159973.15182100400957870393052
0,0.11,600,167172.96410752144042806982071
0,0.11,700,174372.77639403887127743571089
0,0.11,800,181572.58868055630212680160108
0,0.11,900,188772.40096707373297616749126
0,0.11,1000,195972.21325359116382553338145
0,0.11,1100,203172.02554010859467489927163
0,0.11,1200,210371.83782662602552426516182
0,0.11,1300,217571.65011314345637363105200
0,0.11,1400,224771.46239966088722299694219
0,0.11,1500,231971.27468617831807236283237
0,0.11,1600,239171.08697269574892172872256
0,0.11,1700,246370.89925921317977109461274
0,0.11,1800,253570.71154573061062046050293
0,0.11,1900,260770.52383224804146982639311
0,0.11,2000,267970.33611876547231919228329
0,0.12,500,175429.85744100400957870393052
0,0.12,600,182629.66972752144042806982071
0,0.12,700,189829.48201403887127743571089
0,0.12,800,197029.29430055630212680160108
0,0.12,900,204229.10658707373297616749126
0,0.12,1000,211428.91887359116382553338145
0,0.12,1100,218628.73116010859467489927163
0,0.12,1200,225828.54344662602552426516182
0,0.12,1300,233028.35573314345637363105200
0,0.12,1400,240228.16801966088722299694219
0,0.12,1500,247427.98030617831807236283237
0,0.12,1600,254627.79259269574892172872256
0,0.12,1700,261827.60487921317977109461274
0,0.12,1800,269027.41716573061062046050293
0,0.12,1900,276227.22945224804146982639311
0,0.12,2000,283427.04173876547231919228329
0,0.13,500,191448.55666100400957870393052
0,0.13,600,198648.36894752144042806982071
0,0.13,700,205848.18123403887127743571089
0,0.13,800,213047.99352055630212680160108
0,0.13,900,220247.80580707373297616749126
0,0.13,1000,227447.61809359116382553338145
0,0.13,1100,234647.43038010859467489927163
0,0.13,1200,241847.24266662602552426516182
0,0.13,1300,249047.05495314345637363105200
0,0.13,1400,256246.86723966088722299694219
0,0.13,1500,263446.67952617831807236283237
0,0.13,1600,270646.49181269574892172872256
0,0.13,1700,277846.30409921317977109461274
0,0.13,1800,285046.11638573061062046050293
0,0.13,1900,292245.92867224804146982639311
0,0.13,2000,299445.74095876547231919228329
0,0.14,500,208044.43728100400957870393052
0,0.14,600,215244.24956752144042806982071
0,0.14,700,222444.06185403887127743571089
0,0.14,800,229643.87414055630212680160108
0,0.14,900,236843.68642707373297616749126
