mortgageInterestRate,propertyValueYearlyIncrease,delta
0.05,-0.01,13578.543143095207052600312698
0.05,0.00,26811.229670095207052600312698
0.05,0.01,40583.943197095207052600312698
0.05,0.02,54913.046534095207052600312698
0.05,0.03,69815.229731095207052600312698
0.05,0.04,85307.51331809520705260031270
0.05,0.05,101407.25154509520705260031270
0.05,0.06,118132.13562209520705260031270
0.05,0.07,135500.19695909520705260031270
0.05,0.08,153529.81040609520705260031270
0.05,0.09,172239.69749309520705260031270
0.05,0.10,191648.92967009520705260031270
0.05,0.11,211776.93154709520705260031270
0.05,0.12,232643.48413409520705260031270
0.05,0.13,254268.72808109520705260031270
0.05,0.14,276673.16691809520705260031270
0.05,0.15,299877.67029509520705260031270
0.06,-0.15,-135602.94574449611243992313843
0.06,-0.14,-128388.08536749611243992313843
0.06,-0.13,-120829.73153049611243992313843
0.06,-0.12,-112915.76258349611243992313843
0.06,-0.11,-104633.77499649611243992313843
0.06,-0.10,-95971.08011949611243992313843
0.06,-0.09,-86914.70094249611243992313843
0.06,-0.08,-77451.368855496112439923138432
0.06,-0.07,-67567.520408496112439923138432
0.06,-0.06,-57249.294071496112439923138432
0.06,-0.05,-46482.526994496112439923138432
0.06,-0.04,-35252.751767496112439923138432
0.06,-0.03,-23545.193180496112439923138432
0.06,-0.02,-11344.764983496112439923138432
0.06,-0.01,1363.933353503887560076861568
0.06,0.00,14596.619880503887560076861568
0.06,0.01,28369.333407503887560076861568
0.06,0.02,42698.436744503887560076861568
0.06,0.03,57600.619941503887560076861568
0.06,0.04,73092.903528503887560076861568
0.06,0.05,89192.64175550388756007686157
0.06,0.06,105917.52583250388756007686157
0.06,0.07,123285.58716950388756007686157
0.06,0.08,141315.20061650388756007686157
0.06,0.09,160025.08770350388756007686157
0.06,0.10,179434.31988050388756007686157
0.06,0.11,199562.32175750388756007686157
0.06,0.12,220428.87434450388756007686157
0.06,0.13,242054.11829150388756007686157
0.06,0.14,264458.55712850388756007686157
0.06,0.15,287663.06050550388756007686157
0.07,-0.15,-147959.18884327350254371592432
0.07,-0.14,-140744.32846627350254371592432
0.07,-0.13,-133185.97462927350254371592432
0.07,-0.12,-125272.00568227350254371592432
0.07,-0.11,-116990.01809527350254371592432
0.07,-0.10,-108327.32321827350254371592432
0.07,-0.09,-99270.94404127350254371592432
0.07,-0.08,-89807.61195427350254371592432
0.07,-0.07,-79923.76350727350254371592432
0.07,-0.06,-69605.537170273502543715924320
0.07,-0.05,-58838.770093273502543715924320
0.07,-0.04,-47608.994866273502543715924320
0.07,-0.03,-35901.436279273502543715924320
0.07,-0.02,-23701.008082273502543715924320
0.07,-0.01,-10992.309745273502543715924320
0.07,0.00,2240.376781726497456284075680
0.07,0.01,16013.090308726497456284075680
0.07,0.02,30342.193645726497456284075680
0.07,0.03,45244.376842726497456284075680
0.07,0.04,60736.660429726497456284075680
0.07,0.05,76836.398656726497456284075680
0.07,0.06,93561.28273372649745628407568
0.07,0.07,110929.34407072649745628407568
0.07,0.08,128958.95751772649745628407568
0.07,0.09,147668.84460472649745628407568
